소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
,경기도 여주시 영릉로 22 (창동),연세새로운병원,병원,12,22,84,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
경기도 여주시 하동 435번지 세종여주병원,"경기도 여주시 청심로 39, 세종여주병원 (하동)",세종여주병원,병원,86,56,180,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 안과, 영상의학과, 재활의학과, 가정의학과, 응급의학과"
경기도 의정부시 의정부동 235-19 미건메디컬프라자,"경기도 의정부시 평화로 647, 미건메디컬프라자 B02,202,401,501호 (의정부동)",청우병원,정신병원,10,25,121,정신건강의학과
,"경기도 의정부시 용민로 198, 월드본타워 5층 (민락동)",우리조은한방병원,한방병원,10,12,41,"내과, 마취통증의학과, 한방내과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과"
경기도 양평군 청운면 신론리 225번지 홍영노인전문병원,"경기도 양평군 청운면 신론로 406-17, 홍영노인전문병원",홍영노인전문병원,요양병원(일반요양병원),22,24,142,"내과, 외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방재활의학과, 사상체질과, 침구과"
,경기도 양평군 용문면 중원산로490번길 30,브니엘노인전문병원,요양병원(일반요양병원),20,36,165,"내과, 외과, 가정의학과"
"경기도 의정부시 의정부동 492번지 3호 ,492-2지상3층",경기도 의정부시 시민로 50 (의정부동),신여성병원,병원,17,21,34,"산부인과, 소아청소년과"
경기도 의정부시 신곡2동 761번지 4호,경기도 의정부시 청사로5번길 16 (신곡동),우먼피아여성병원,병원,12,21,32,"산부인과, 소아청소년과"
,경기도 양평군 양평읍 중앙로 129,양평병원,병원,30,31,110,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과"
경기도 오산시 청학동 7번지 1호,경기도 오산시 청학로 60 (청학동),오산메디컬재활요양병원,요양병원(노인병원),22,42,192,"내과, 외과, 재활의학과, 한방내과"
,"경기도 오산시 대원로 13, 1.2층 (오산동)",유림치과병원,치과병원,2,0,0,"치과보철과, 치과교정과, 치주과, 치과보존과, 통합치의학과"
,경기도 양평군 양서면 남한강변길 83,한길요양병원,요양병원(일반요양병원),7,36,65,"내과, 신경과, 산부인과, 재활의학과, 한방내과, 한방재활의학과, 사상체질과, 침구과"
경기도 양평군 용문면 다문리 702번지 3호,경기도 양평군 용문면 다문북길 22-2,양평효노인전문병원,요양병원(노인병원),15,18,80,"내과, 신경과, 재활의학과, 한방내과"
경기도 양평군 강하면 전수리 1016번지 6호 다나암요양병원,"경기도 양평군 강하면 사호1길 51, 다나암요양병원",다나암요양병원,요양병원(일반요양병원),14,51,84,"내과, 정형외과, 마취통증의학과, 한방내과"
경기도 의정부시 금오동 447-5,경기도 의정부시 호국로1519번길 2-29 (금오동),로체스터병원,병원,50,40,145,"신경과, 재활의학과, 한방내과, 침구과"
,"경기도 의정부시 용현로105번길 45-14, 1-9층 (민락동)",의료법인 송화의료재단 조은요양병원,요양병원(일반요양병원),20,29,147,"내과, 신경과, 정형외과, 신경외과, 산부인과, 재활의학과, 한방내과"
경기도 오산시 원동,경기도 오산시 경기대로 209 (원동),서울어린이병원,병원,26,54,85,"내과, 소아청소년과, 이비인후과, 피부과, 가정의학과"
경기도 오산시 수청동 618-5,"경기도 오산시 내삼미로79번길 19, 6층~8층, 10층 (수청동)",송호욱병원,병원,17,9,36,"내과, 정형외과, 신경외과, 영상의학과"
,경기도 오산시 오산로 307 (오산동),조은오산병원,종합병원,86,57,206,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 직업환경의학과"
,"경기도 오산시 경기대로 274, B1,1,2,3,5층 (오산동)",버팀병원,병원,40,27,99,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 직업환경의학과"
,경기도 양평군 양서면 양수로 149-2,양수삼성요양병원,요양병원(일반요양병원),27,26,91,"내과, 외과, 정형외과, 심장혈관흉부외과, 가정의학과, 한방내과"
,경기도 양평군 양평읍 중앙로 260,국립교통재활병원,병원,138,93,268,"내과, 정신건강의학과, 외과, 성형외과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 재활의학과"
,경기도 양평군 양평읍 시민로128번길 4,양평엘한방병원,한방병원,9,14,50,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,경기도 양평군 용문면 우나람길 63,생생우리누리요양병원,요양병원(일반요양병원),15,79,128,"내과, 마취통증의학과, 가정의학과, 한방내과, 한방부인과, 침구과"
경기도 오산시 원동 560번지 70호 외4필지,경기도 오산시 밀머리로1번길 16 (원동),오산한국병원,종합병원,256,93,299,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치과보존과"
경기도 오산시 갈곶동 190번지 3호,경기도 오산시 오산로 8 (갈곶동),오산세종병원,병원,23,8,46,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과"
,"경기도 의왕시 오전로 15 (왕곡동, 계요병원)",의료법인 계요의료재단 계요병원,정신병원,72,208,800,"신경과, 정신건강의학과"
경기도 의왕시 삼동 471번지 49호,경기도 의왕시 철도박물관로 59 (삼동),부곡치과병원,치과병원,4,0,0,치과
경기도 의왕시 포일동 661번지 1호,경기도 의왕시 안양판교로 101 (포일동),서울와이즈요양병원,요양병원(일반요양병원),27,30,187,"내과, 신경과, 정신건강의학과, 재활의학과, 가정의학과, 한방내과"
,"경기도 오산시 수목원로 462, 3,6,7층 (금암동, 무한메디칼)",세교요양병원,요양병원(일반요양병원),13,22,112,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 피부과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
경기도 오산시 외삼미동 641 삼성본병원 A동 및 B동,"경기도 오산시 북삼미로 175, 삼성본병원 A동 및 B동 (외삼미동)",삼성본병원,병원,77,20,70,"내과, 정형외과, 마취통증의학과, 영상의학과"
경기도 오산시 세교동 600-4 오산세교CL타워,"경기도 오산시 수목원로 606, 오산세교CL타워 5,7,8,9층 (세교동)",세마그린요양병원,요양병원(일반요양병원),11,51,278,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 응급의학과, 예방의학과, 한방내과, 침구과"
경기도 오산시 원동 764-1,"경기도 오산시 대원로 30, 4층,5층,6층 (원동)",이안한방병원,한방병원,19,26,56,"내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 의왕시 오전동 310번지,경기도 의왕시 등칙골1길 22 (오전동),다사랑중앙병원,정신병원,29,66,266,"내과, 정신건강의학과, 소아청소년과, 재활의학과, 한방내과, 한방신경정신과, 사상체질과, 침구과"
경기도 의왕시 왕곡동 280번지 1호,"경기도 의왕시 오전로 15 (왕곡동, 계요노인전문병원)",의료법인 계요의료재단 계요노인전문병원,요양병원(일반요양병원),33,38,170,"내과, 신경과, 정신건강의학과, 가정의학과"
경기도 의왕시 오전동 374번지 1호,경기도 의왕시 오전천로 29 (오전동),의료법인 의왕시티의료재단 시티병원,병원,23,28,158,"내과, 신경과, 외과, 정형외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 응급의학과"
서울특별시 강서구 마곡동 797 에이스타워 마곡,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 3,4,5,6층 (마곡동)",에스앤유서울병원,병원,89,25,89,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
경기도 안양시 만안구 안양동 695번지 209호 지하1층~지상5층,"경기도 안양시 만안구 안양로 335, 지하1층~지상5층 (안양동)",안양요양병원,요양병원(일반요양병원),37,40,197,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과"
부산광역시 해운대구 좌동 1473번지 2호 엘리움,"부산광역시 해운대구 해운대로 794, 10~11층 (좌동)",퀸즈파크여성병원,병원,19,18,32,"내과, 외과, 산부인과, 소아청소년과"
광주광역시 광산구 우산동 1586번지 18호,"광주광역시 광산구 사암로216번길 38-6, 4일부, 6.7.8층 (우산동)",우산한방병원,한방병원,4,17,48,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"전라남도 목포시 청호로 109-0 (산정동, (산정동))",목포청담병원,병원,2,19,60,"내과, 마취통증의학과, 가정의학과, 침구과"
광주광역시 남구 월산동 24번지 40호 원광연합한의원,광주광역시 남구 구성로 76 (월산동),우리한방병원,한방병원,3,16,53,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 파주시 맥금동 372번지 13호,경기도 파주시 방촌로326번길 46 (맥금동),연세요양병원,요양병원(일반요양병원),15,35,199,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 응급의학과, 한방내과"
인천광역시 남동구 논현동 636번지 5호 대진메디컬프라자,"인천광역시 남동구 호구포로 214, 대진메디컬프라자 7~10층 (논현동)",인천수요양병원,요양병원(일반요양병원),5,17,97,"내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 한방내과, 침구과"
,"서울특별시 송파구 법원로11길 32, 지하2~1층, 지상5~11층,13층 (문정동)",대전대학교서울한방병원,한방병원,30,20,52,"내과, 가정의학과, 한방내과, 한방부인과, 한방재활의학과, 침구과"
서울특별시 금천구 시흥동 1031번지,"서울특별시 금천구 시흥대로73길 67, 4,6층 (시흥동)",금천한방병원,한방병원,7,19,62,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"광주광역시 서구 운천로 148, 2,3,5층 (쌍촌동)",문영래 정형외과병원,병원,21,16,50,"정형외과, 마취통증의학과, 영상의학과"
경상남도 김해시 대청동 301-1,"경상남도 김해시 번화1로56번길 2, 101, 104, 105, 201, 301호 외 3호 (대청동)",자연힐한방병원,한방병원,9,40,50,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"경기도 평택시 평택5로 94, 1~8층 (비전동)",평택제니스요양병원,요양병원(일반요양병원),25,34,194,"내과, 신경과, 정형외과, 재활의학과, 가정의학과"
서울특별시 광진구 자양동 685번지,"서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)",편안한요양병원,요양병원(일반요양병원),5,68,342,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
"인천광역시 남동구 논현동 649번지 3호 아름다운타워 401,402호","인천광역시 남동구 논고개로 101, 아름다운타워 4층 401,402호 (논현동)",새론한방병원,한방병원,8,15,37,"내과, 신경과, 정신건강의학과, 정형외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
충청남도 천안시 서북구 불당동 1489-1,"충청남도 천안시 서북구 불당25로 206, 3,4,5층(외1 불당25로208 4,5층) (불당동)",아이본병원,병원,33,49,98,"내과, 소아청소년과, 피부과, 영상의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 한방내과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과"
경기도 오산시 수청동 608-1 W-타워 3-8층,"경기도 오산시 청학로 264, W-타워 3-8층 (수청동)",스타트요양병원,요양병원(일반요양병원),22,39,199,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과"
경기도 평택시 독곡동 155번지 1호 송탄 참병원(요양병원),경기도 평택시 오리곡길 30 (독곡동),서울요양병원,요양병원(일반요양병원),8,24,96,"신경외과, 한방재활의학과"
부산광역시 강서구 명지동 3358번지 7호,"부산광역시 강서구 명지국제8로 269, 유당빌딩 4~5층 (명지동)",개나리소아청소년과병원,병원,5,17,30,"내과, 소아청소년과, 이비인후과, 피부과"
"인천광역시 남동구 논현동 645번지 1호 에이스프라자 2, 4~9층","인천광역시 남동구 논현로26번길 6, 에이스프라자 2, 4~9층 (논현동)",스마일요양병원,요양병원(일반요양병원),18,36,198,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 이비인후과, 피부과, 비뇨의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
인천광역시 미추홀구 숭의동 341번지 20호 인천한방병원,"인천광역시 미추홀구 석정로 6, 인천한방병원 1~4일부층,5층 (숭의동)",인천한방병원,한방병원,2,21,67,"내과, 정형외과, 신경외과, 산부인과, 피부과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
대구광역시 수성구 범어동 198-5,"대구광역시 수성구 달구벌대로 2492, 1,2,4~9,11층 (범어동)",수성탑병원,병원,17,28,99,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 재활의학과, 가정의학과, 한방재활의학과, 침구과"
경기도 하남시 신장동 563-1 청봉기념병원,"경기도 하남시 하남대로802번길 5-4, 청봉기념병원 (신장동)",청봉병원,병원,17,18,53,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 피부과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
울산광역시 남구 달동 1341-3,"울산광역시 남구 번영로 160, 2~3, 5~10층 (달동)",제니스병원,병원,52,41,119,"외과, 성형외과, 산부인과, 피부과, 영상의학과, 재활의학과, 가정의학과"
서울특별시 서초구 방배동 795번지 22호 창생빌딩,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",뉴민병원,병원,19,9,31,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 피부과, 영상의학과, 재활의학과, 가정의학과"
대전광역시 서구 탄방동 681,"대전광역시 서구 문정로2번길 145, 3,4,5,7,8층 (탄방동)",꽃빛한방병원,한방병원,9,17,50,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"광주광역시 서구 운천로 148, 4층 (쌍촌동)",스마트원치과병원,치과병원,7,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 예방치과, 통합치의학과"
,서울특별시 은평구 통일로 935 (갈현동),은평요양병원,요양병원(일반요양병원),27,34,195,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 침구과"
경기도 하남시 망월동 1147번지 트레비타워,"경기도 하남시 미사대로 424, 트레비타워 4~8층 (망월동)",미사강변요양병원,요양병원(일반요양병원),56,51,243,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
,전라남도 무안군 삼향읍 남악로250번길 59-30,의료법인이영의료재단 시그니티요양병원,요양병원(일반요양병원),20,65,338,
경기도 고양시 일산동구 정발산동 1204번지 1호 동원산부인과,"경기도 고양시 일산동구 일산로 439, 지하1~2층 지상2~5층호 (정발산동)",동원요양병원,요양병원(일반요양병원),16,43,80,"내과, 산부인과, 영상의학과, 가정의학과, 한방내과"
,"서울특별시 마포구 성산로4길 33, 마포요양병원 지하1~5층 (성산동)",마포요양병원,요양병원(일반요양병원),34,28,168,"내과, 신경과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
인천광역시 중구 중산동 1886번지 3호,"인천광역시 중구 하늘별빛로65번길 7-9, 3,4층 (중산동)",(의)성세의료재단 영종국제병원,병원,16,21,77,"내과, 신경과, 정형외과, 신경외과, 영상의학과"
대구광역시 수성구 중동 97-1,"대구광역시 수성구 수성로 228, 지하1~10층 (중동)",김신요양병원,요양병원(일반요양병원),16,69,299,"내과, 신경과, 외과, 정형외과, 신경외과, 이비인후과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 사상체질과, 침구과"
"인천광역시 서구 가정동 617번지 3호 가정봄프라자 6,7,8,9층","인천광역시 서구 봉오재3로110번길 7, 가정봄프라자 6,7,8,9층 (가정동)",청라베스트요양병원,요양병원(일반요양병원),5,44,239,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 마취통증의학과, 산부인과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 결핵과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,전라남도 광양시 광양읍 숲샘길 80-0,의료법인파스카의료재단 광양우리병원,병원,2,60,201,"내과, 정형외과, 마취통증의학과, 소아청소년과, 영상의학과, 가정의학과"
,"대구광역시 달성군 다사읍 왕선로 31, 2~7층",다사요양병원,요양병원(일반요양병원),29,39,197,"내과, 외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 침구과"
부산광역시 해운대구 반여동 1247번지 6호 한빛요양병원,"부산광역시 해운대구 반여로 156, 한빛요양병원 (반여동)",해운대 한빛요양병원,요양병원(일반요양병원),30,47,244,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 소아청소년과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 영등포구 영등포로 358, 대윤메디컬센터 지하1층, 2-5층 (신길동)",대윤한방병원,한방병원,9,17,49,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
대구광역시 달성군 다사읍 부곡리 693번지,"대구광역시 달성군 다사읍 달구벌대로109길 12-6, 1~4층",봄요양병원,요양병원(일반요양병원),24,37,198,"내과, 외과, 정형외과, 마취통증의학과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
인천광역시 남동구 구월동 277 인향콤비타워,"인천광역시 남동구 인주대로 670, 인향콤비타워 5층,101일부,104,601,602호 (구월동)",인주한방병원,한방병원,18,21,74,"가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 침구과"
,"대구광역시 중구 중앙대로 366, 지하1,2,3,5,7,11,12,14,17층 (덕산동)",광개토병원,병원,37,20,65,"내과, 외과, 정형외과, 성형외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과, 응급의학과"
,"대구광역시 남구 대명로 86, 8~12층 (대명동)",대명휴요양병원,요양병원(일반요양병원),25,37,188,"내과, 신경과, 정형외과, 신경외과, 가정의학과, 한방내과, 침구과"
인천광역시 미추홀구 주안동 409번지 1호,"인천광역시 미추홀구 경인로 402, 2,3,4층 (주안동)",더원한방병원,한방병원,18,23,72,"내과, 정형외과, 신경외과, 마취통증의학과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"경기도 하남시 미사강변대로 42, DK골드타워 3~7층 (풍산동)",라이프요양병원,요양병원(일반요양병원),40,52,286,"신경과, 외과, 재활의학과, 가정의학과, 한방내과"
경기도 성남시 수정구 창곡동 596,"경기도 성남시 수정구 헌릉로 999, 5~10층 (창곡동)",위례센트럴요양병원,요양병원(일반요양병원),44,56,297,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과"
서울특별시 강남구 논현동 235-11 센트럴타워,"서울특별시 강남구 봉은사로 213, 센트럴타워 5~7층 (논현동)",힘찬큐한방병원,한방병원,6,11,30,"내과, 신경과, 정신건강의학과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 동대문구 제기동 892번지 64호,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",서울탑병원,병원,66,39,129,"내과, 신경과, 정형외과, 신경외과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
서울특별시 서초구 서초동 1677번지 8호 프로비스타,"서울특별시 서초구 서초대로 338, 프로비스타 지하1층 지상2~8층 (서초동)",모커리한방병원,한방병원,23,24,92,"영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 시흥시 능곡동 457-12,"경기도 시흥시 능곡번영길 22, 5~7층 전체호 (능곡동)",흥케이병원,병원,55,19,63,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
,충청북도 청주시 청원구 오창읍 오창대로 412-0,채음한방병원,한방병원,7,28,78,
강원특별자치도 철원군 동송읍 이평리 730번지 8호,강원특별자치도 철원군 동송읍 금학로157번길 23-17 (철원성모병원),철원요양병원,요양병원(일반요양병원),20,32,182,"외과, 신경외과, 가정의학과, 한방내과, 침구과"
강원특별자치도 횡성군 횡성읍 입석리,강원특별자치도 횡성군 횡성읍 횡성로 275,횡성대성병원,병원,16,31,104,"내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 영상의학과"
광주광역시 북구 용봉동 1038-1,"광주광역시 북구 비엔날레로 108, 3,5층 (용봉동)",비엔날레병원,병원,9,32,71,내과
부산광역시 해운대구 중동 1829 엘시티,"부산광역시 해운대구 달맞이길 30, 제포디움동 2층 2017~2020,2079~2081호 (중동, 엘시티)",한마음병원,병원,15,20,30,"내과, 정신건강의학과, 소아청소년과, 이비인후과, 영상의학과, 가정의학과"
"경상남도 양산시 물금읍 가촌리 1295-3 , 2층 일부~5층","경상남도 양산시 물금읍 증산역로 155, 2층 일부~5층",아는마음 한방병원,한방병원,11,28,37,"내과, 한방내과, 사상체질과, 침구과"
경기도 광주시 경안동 20-16,"경기도 광주시 광주대로 31, GA타워 9, 10층 (경안동)",미켈란젤로병원,병원,24,29,47,"내과, 외과, 소아청소년과, 이비인후과, 피부과"
경상남도 하동군 하동읍 두곡리 737-3,경상남도 하동군 하동읍 화심길 39,하동한국병원,병원,12,8,30,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 평택시 고덕동 2712-1,"경기도 평택시 고덕국제7로 117, 5층 (고덕동)",가온한방병원,한방병원,12,9,30,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경상남도 사천시 축동면 가산리 450-1 순영병원,경상남도 사천시 축동면 서삼로 1110-35,의료법인 행복한의료재단 경남도립정신병원,정신병원,5,20,81,정신건강의학과
광주광역시 남구 봉선동 145-4,"광주광역시 남구 용대로 103-1, 2,3,4층 (봉선동)",광주한방병원,한방병원,5,23,68,"내과, 정형외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
대구광역시 북구 연경동 960-3,"대구광역시 북구 동화천로 237, 4~7층 (연경동)",연경푸른숲한방병원,한방병원,14,23,46,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
충청남도 논산시 반월동 66-1 논산타워,"충청남도 논산시 중앙로 464, 논산타워 401-403,601-602호 (반월동)",논산경희한방병원,한방병원,16,20,60,"내과, 영상의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 송파구 가락동 48-3 리워크병원,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",더힐병원,병원,9,26,60,"내과, 이비인후과, 피부과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
경상남도 거제시 고현동 29-9 신청춘한방병원,"경상남도 거제시 고현천로 30, 신청춘한방병원 (고현동)",신청춘한방병원,한방병원,10,21,42,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 시흥시 능곡동 898-10 센텀시티Ⅱ,"경기도 시흥시 능곡번영길 20, 센텀시티Ⅱ 3~6층, 7~8층 일부호 (능곡동)",아너스힐병원,병원,79,56,194,"내과, 신경과, 피부과, 재활의학과, 가정의학과"
부산광역시 사상구 괘법동 547-17,부산광역시 사상구 사상로 174 (괘법동),상현한방병원,한방병원,9,12,30,"내과, 한방내과, 한방부인과, 한방신경정신과, 한방재활의학과, 침구과"
,"강원특별자치도 원주시 만대공원길 59-0, 4~6층 (무실동)",서울매일치과병원,치과병원,7,0,0,
,전북특별자치도 군산시 대학로 375-0 (나운동),봄요양병원,요양병원(일반요양병원),16,29,150,
서울특별시 송파구 삼전동 28-6,"서울특별시 송파구 백제고분로 196, 4층~5층 (삼전동)",서울오브치과병원,치과병원,2,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과"
경기도 시흥시 월곶동 991-28 나보나시티,"경기도 시흥시 월곶중앙로14번길 68, 4층 (월곶동, 나보나시티)",마음한방병원,한방병원,14,14,46,"가정의학과, 한방내과, 한방신경정신과, 침구과"
광주광역시 서구 화정동 23-19 명문빌딩,"광주광역시 서구 화운로220번길 2, 명문빌딩 3~6층 (화정동)",서울한방병원,한방병원,14,17,61,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
