충전소이름,이용가능시간,자세한 위치,주차비,등록일자
테크노밸리 상평주차장,24시간,주차장 입구 우측 20m,부가정보없음,2020.12.23 16:51
산성리 역전시장 충전소,24시간,주차장,무료,2021.1.5 11:44
송촌주민센터 공영주차장,24시간,공영주차장 1층,유료,2021.1.5 17:35
직산읍 행정복지센터,24시간,읍사무소 옆 지상주차장,무료,2020.12.17 8:47
청송군청 주차장,24시간,군청 입구 주차장,무료,2020.12.21 9:52
원주시립도서관,24시간,후문측 지상주차장,무료,2021.1.20 13:10
고양종합운동장,24시간,정문입구 지상주차장,0,2020.12.15 15:54
화랑설화마을,24시간,화랑설화마을 내 주차장,무료,2020.12.11 8:08
법수문화마을회관,24시간,주차장,0,2020.12.22 9:59
월드피아,24시간,102동 -103동 사이,무료,2020.7.22 16:11
하점면사무소,24시간,하점면사무소 방면 출입후 우측,0,2021.1.11 16:42
창리공영주차장,24시간,큰 도로측,0,2021.1.11 17:26
이도2동 공영주차장,24시간,주차장,0,2021.2.16 17:39
주실마을 주차장  충전소,24시간,주실마을 주차장,무료,2020.12.21 11:47
양양전통시장주차장,매일 06:00 ~ 21:00 연중무,1층 중앙,유,2021.1.21 10:46
경창시장 고객주차장,24시간,지상1층주차장,유료,2021.1.21 17:56
한국전력 연천지사(50kw),24시간,한국전력 연천지사,0,2021.1.25 9:39
광주지사 전기차충전소,24시간,고객주차장,0,2021.2.1 19:09
서암체육공원,24시간,주차장,0원,2020.12.18 9:25
대소면 행정복지센터,24시간,대소면 행정복지센터 주차장,0,2020.12.17 8:55
영동군 농업기술센터,24시간,농업기술센터 우측 주차장,없음,2020.12.17 9:00
보은종합시장,24시간,결초보은시장 주차장 내,부가정보없음,2020.12.17 9:47
(고속도로)청송휴게소 청주방면,24시간,휴게소 출구,무료,2020.12.21 9:44
홈플러스 구미점(2층),24시간,2층,0,2020.12.22 17:06
한국농어촌공사 음성지사,24시간,개방 주차장,0,2020.12.17 17:13
한국농어촌공사 진천지사,24시간,한국농어촌공사 주차장,0,2020.12.17 17:16
노은면 행정복지센터,24시간,노은면 행정복지센터,0,2020.12.18 9:05
서천군청 주차장,24시간,주차장 중앙,0원,2020.12.28 11:44
월곡2동 행정복지센터,24시간,"(실외,캐노피)주자창 입구",무료,2020.12.28 15:51
도산동 행복나루 노인복지관,24시간,"(실외,캐노피)주차장진입좌측끝",무료,2020.12.28 15:55
경상북도청소년수련원,24시간,주차장 입구,0,2020.12.22 16:12
경주여자정보고등학교,24시간,경주여자정보고 정문 경비실 앞,없음,2020.12.11 8:08
담양월산농협,24시간,담양월산농협 입구 우측 주차장,0,2021.2.9 17:08
동막해변공영주차장,24시간,공영주차장 출입후 우측,600원/1시간,2021.1.11 17:38
만세공원,24시간,만세공원 공영 주차장,0,2021.2.4 16:01
하안도서관,24시간,지상주차장,없음,2021.1.20 20:43
현포만남의광장,24시간,주차장,무료,2020.12.11 8:08
육동행복센터,24시간,에코복합센터 앞(빨간건물앞),무료,2020.12.11 8:08
칠곡경찰서,24시간,민원처리실 옆,무상,2020.12.11 8:08
삼성현역사문화공원 제1주차장,24시간,제1주차장,무료,2020.12.11 8:08
경산공설시장,24시간,주차타워 옥상,무료,2020.12.11 8:08
한국생산기술연구원(달성),24시간,지상주차장,0,2020.12.11 8:08
대가야수목원 주차장,24시간,주차장,무료,2020.12.11 8:08
권무정 궁도장,24시간,1층 주차장,무료,2020.12.11 8:08
고아리 주차장,24시간,주차장,무료,2020.12.11 8:08
한의마을,24시간,한의마을 입구 근처 주차장,무료,2020.12.11 8:08
청통파출소,24시간,파출소 내 주차장,무료,2020.12.11 8:08
청하면행정복지센터,24시간,주차장,무료,2020.12.11 8:08
포항지방해양수산청,24시간,지상주차장,무료,2020.12.11 8:08
경남문화예술회관 주차장,24시간,문화예술회관 주차장,주차비 혜택X,2020.12.22 15:34
군청 제2주차장 전기차 충전소,24시간,고창읍 모양성로 45,0,2021.1.14 9:37
동구동주민센터,24시간,야외주차장,0원,2020.12.23 16:01
논산시 농업기술센터,24시간,주차장,부가정보없음,2021.1.5 17:43
연무안심시장,24시간,주차장,부가정보없음,2021.1.5 17:50
진월 국제테니스장,24시간,(실내지하)주차장 1층,0,2020.12.16 14:37
봉평시장공용주차장,24시간,봉평시장주차장 입구,부가정보없음,2021.1.21 9:17
관악구 종합체육센타,06~23시,주차장,유료,2020.12.31 14:20
선원면사무소,24시간,면사무소 건물 바로 앞,0,2021.1.11 17:52
용성면사무소,24시간,용성성당 뒤 주차장,무료,2020.12.11 8:08
대합일반산업단지 전기차 충전소,24시간,공원 주차장,0,2020.12.23 14:04
도천면주민자치센터 전기차 충전소,24시간,주민자치센터 주차장,0,2020.12.23 14:38
한국농어촌공사 여주이천지사,24시간,한국농어촌공사 여주이천지사,무료,2021.1.19 15:42
솔터체육공원,24시간,주차장,0원,2020.12.22 15:44
한전 고성지사,24시간,한전 고성지사,0,2020.12.23 13:30
진동복지타운,24시간,진동복지타운 주차장입구,무료,2020.12.23 14:41
산외면 행정복지센터,24시간,산외면 행정복지센터 입구,0,2020.12.23 14:43
춘화농공단지 주차장,24시간,춘화농공단지 주차장 구석,0,2020.12.23 14:54
한국승강기대학교,24시간,한국승강기대학교 생활관 앞 주차장,0,2020.12.23 17:10
영월 서부시장 제2주차장,24시간,주차장 입구 우측 끝,없음,2021.1.20 17:45
나산면사무소,24시간,(실외캐노피기설) 주차장 좌측 정자,없음,2021.2.9 13:33
목포국제축구센터,24시간,(실외캐노피설)하프돔 측면 주차장,부가정보없음,2020.12.29 16:02
대가야테마파크 주차장,24시간,주차장,무료,2020.12.11 8:08
경북보건대학,24시간,본관 옆 수전실 앞,0,2020.7.22 16:11
산업용재관,24시간,24동 옥상주차장,0,2020.12.11 8:08
공근농공단지,24시간,공근농공단지 관리사무소 주차장,0,2021.2.4 16:06
한국전력공사 남양주지사,24시간,옥외주차장,0,2020.12.15 17:33
강원도립대학,24시간,강원도립대학교 후문주차장,부가정보없음,2021.1.21 9:26
송정자연휴양림,24시간,출입구 맞은편,무료,2020.12.11 8:08
구포2동 공영주차장,24시간,구포동 주민센터 주차장 입구,무료,2021.1.8 10:06
운제산 산림욕장,24시간,주차장 입구 측,무료,2020.12.11 8:08
오금공원,24시간,지상주차장,유료,2021.1.21 17:33
동두천시종합운동장,24시간,주차장,0,2021.1.25 10:40
관악구 종합체육센타,06~23시,주차장,유료,2020.12.31 17:05
마포도화우성아파트,24시간,9-2 주차장,미개방,2018.11.12 9:32
생림나전농공단지,24시간,지상,부가정보없음,2018.9.11 11:11
능곡2차 현대홈타운아파트,24시간,202-203동 지하주차장 A52기둥,부가정보없음,2018.10.29 16:32
하이빌현대아파트,24시간,"A지하 2대, B지하 4대",부가정보없음,2019.12.4 19:09
칠곡홈플러스(추가분),09시~23시,지하1층 주차장,무료,2019.12.4 19:22
공주경찰서,24시간,경찰서 주차장,무료,2020.10.13 13:51
창전현대아파트,24시간  ※외부인 개방,지상주차장,없음,2020.9.23 18:26
덕풍어린이공원 공영주차장,24시간,지하1층,미정,2020.8.12 15:48
신일유토빌아파트,24시간,지하주차장,0,2019.12.4 19:21
호수마을,24시간  ※외부인 개방,제1지하주차장 102동 출입로,없음,2019.12.4 19:21
송현2동공영주차장,24시간,주차장 입구 정면 끝,0,2019.12.4 19:22
복개천공영주차장,24시간,주차타워 1층,유료,2021.1.13 11:04
방배복개도로 제2지역 공영주차장,24시간,지상주차장,유료,2021.1.21 17:11
대한무역투자진흥공사,24시간,지상 주차장,유료,2021.1.21 17:18
청라 BRT 통합차고지,24시간,건물 우측 공용 주차장,없음,2020.12.28 9:25
군위군농업기술센터,24시간,농업기술센터 내 주차장,무료,2020.12.28 14:36
빙수골 장미주차장,06~23시,주차장,유료,2020.12.31 14:25
세교종합사회복지관,24시간,복지관 뒤편 주차장,0,2020.12.31 14:59
대방중간집하장 공영주차장,24시간,지상주차장,무,2020.8.11 20:37
신림주공2단지,24시간,지하5층,0,2020.9.17 17:55
관악구 평생학습관,06~23시,지하1층 주차장,무료,2020.8.11 20:37
경일대학교,24시간,종합체육관,무료,2020.12.11 8:08
삼성현역사문화공원 제2주차장,24시간,제2주차장,무료,2020.12.11 8:08
칠량면 공영주차장,24시간,(실외완전노출)공영주차장 안쪽,0,2021.1.11 15:15
내가면사무소,24시간,출입후 좌측 화단아래,0,2021.1.11 17:45
손불면사무소,24시간,(실외캐노피기설) 지상주차장 오른편,0,2021.1.13 17:27
전기기술인협회,24시간,지상,별도문의,2021.2.3 10:36
신양면사무소 충전소,24시간,주차장,무료,2021.1.5 11:47
소하도서관,24시간,지상 주차장,없음,2021.1.20 20:31
홍주성 옆 공영주차장,24시간,공영주차장 화장실 옆,30분 무료,2021.1.7 9:28
청원보건소,평일 09시~18시,지하1층주차장,부가정보없음,2017.11.17 9:29
CGV 신대점,24시간,(실내지상)영화관 입구 측면 주차장,3시간 무료(영화 관람시),2020.12.23 13:55
롯데몰 동부산점,10:30~20:30,지하1층 G11구역,부가정보없음,2021.1.8 10:27
상계동양 아파트,24시간,"102동 1,2라인 지상주차장",없음,2017.8.12 0:00
농업기술센터,"평일 : 08시~19시, 주말(공휴일포함) : 09시~18시",입구 오른쪽 야외주차장,0원,2020.12.23 15:54
낙동강하구에코센터,24시간,낙동강하구에코센터공영주차장,1시간무료,2021.1.8 10:12
신천리 공영주차장,24시간,298번지 공영주차장,부가정보없음,2021.1.8 10:52
푸르지오캐슬B단지 아파트,24시간,지하2층주차장(205동 옆),부가정보없음,2017.7.4 0:00
부평아트센터,오전7시~오후9시,지하주차장 2층 G-2번,"충전시 1시간 면제, 1시간 초과시부터는 50%할인",2017.9.19 16:25
한빛마을8단지,24시간,지하1층 주차장 B26(803동),0,2017.12.26 17:53
흑석한강센트레빌,24,108동 지하 2층 주차장,관리사무소,2017.8.12 0:00
칠북면 보건지소,24시간,주차장,0,2020.12.22 9:55
산인공단회관,24시간,주차장,0,2020.12.22 10:03
운암공영주차장,24시간,주차타워 1층,유료,2021.1.13 11:07
오색시장 제2공영주차장,24시간,주차타워,유료,2021.1.13 11:20
혁신서한이다음3차,24시간,701동 지하1층 주차장,0,2017.7.9 0:00
국회의사당,주중/주말 : 24시간,국회의사당 본관후문 1층 주차장,주차비 없음,2016.10.27 0:00
호성주공2차아파트,24시간  ※외부인 개방,야외주차장,0,2020.12.18 13:28
만덕1동 공영주차장,24시간,만덕1동 주차장 입구,무료,2021.1.8 10:10
울주군 남부통합보건소,24시간,1층 주차장,0,2021.1.8 11:03
주례2동 행정복지센터,24시간,지하주차장 안쪽,무료,2021.1.8 11:08
국립민속박물관(파주관),09:00~18:00,지상주차장,0,2021.1.24 12:06
수원대월주공아파트,24시간,816동 앞 B1F,부가정보없음,2017.7.4 0:00
가재마을10단지,24시간,"지하1층 주차장(1006동, C45BL)",부가정보없음,2017.4.12 19:06
산외면 문화센터,24시간,문화센터 맞은편 주차장,0,2020.12.23 14:31
청라 3동 행정복지센터,24시간,청라3동 행정복지센터 1층개방 주차장,없음,2021.1.20 9:37
용인도시공사 평온의숲,24시간,장례식장 옆 지상주차장,0원,2021.1.21 12:59
보람동행정복지센터,24시간,지상주차장,없음,2021.1.11 10:50
조치원주차타워,24시간,옥상,시간별 요금,2021.1.11 10:54
광주시청 공용전기차충전소,24시간,민원실 앞 주차장,0,2021.1.28 17:24
강서경찰서,24시간,우측주차장,0,2021.1.8 15:54
궐동공영주차장,24시간,주차타워 1층,유료,2021.1.12 16:13
김해 율하체육관,24시간,체육관 내 야외주차장,"1시간 무료, 초과시 50%할인",2017.9.19 16:25
동울산종합시장 공영주차장,24시간,1층,"1,000",2021.1.8 9:59
만덕동심공원 공영주차장,24시간,공영주차장 안쪽 입구,무료,2021.1.8 10:03
대덕면사무소,24시간,대덕면사무소 본관 우측 차양대 내부,0,2021.2.9 17:03
미주진로아파트,24시간,지상주차장,입주민 무료,2020.8.11 20:37
수원시상수도사업소,24시간,지상주차장,0,2020.12.10 16:38
문백면전기전자농공단지,24시간,문백전기전자관리사무소 주차장,0,2020.12.17 9:42
솔터체육공원,24시간,주차장,0원,2020.12.18 9:48
내손동공용청사,24시간,주차장 내,0,2020.12.29 16:55
포일어울림센터,24시간,어울림센터 입구 좌측,미정,2020.12.29 17:06
금산수삼센터주차장,24시간,금산수삼센터주차장,0,2017.11.17 9:29
옥동5주공아파트,24시간  ※외부인 개방,지상주차장(503동 서측),회원카드만 결제가능,2017.12.26 17:53
홈플러스 오창점,24시간,4층 지상주차장,없음,2017.9.19 16:25
낙안읍성 주차장,24시간,(실외완전노출)주차장 공중화장실 옆,없음,2017.11.17 9:29
아너써클,24시간,주차장,없음,2017.8.12 0:00
한전삼성동,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
증평군립도서관,24시간,증평군립도서관,없음,2020.12.17 8:58
청주공항,24시간,청주공항 주차장,시간별 상이,2020.12.17 17:12
충주시청 민원주차장,24시간,민원주차장,0,2020.12.17 17:23
나래울공원,24시간,나래울공원 주차장,0원,2020.12.18 8:35
인제지사(공용),24시간,인제지사 고객용 주차장,없음,2020.12.24 18:02
장암면 행정복지센터,24시간,주민자치센터 주차장,무료,2020.10.30 11:32
월등면행정복지센터,24시간,(실외캐노피기설) 센터 내 주차장,무료,2020.12.23 13:58
범지기마을5단지,24시간,"지하1층 주차장(505동,39BL)",부가정보없음,2017.4.12 19:06
문경지사,24시간,지상주차장(건물 남측),충전시 유료,2017.2.13 0:00
연동대림1차아파트,24시간  ※외부인 개방,주차장,없음,2017.11.30 17:08
부민장례식장,주중/주말 : 24시간,본관 왼쪽 주차장,주차비 없음,2017.2.27 0:00
서천마을1단지,24시간,P1주차장 B1 055,부가정보없음,2017.7.4 0:00
가좌벽산블루밍5단지 아파트,24시간,부가정보없음,부가정보없음,2017.4.12 19:06
수성태왕하이츠리버뷰,24시간,103동 지하 1층 주차장,부가정보없음,2017.4.12 19:06
마동근린체육공원,24시간,(실외완전노출) 주차장입구 좌측,0,2017.9.19 16:25
영호맨션,부가정보없음,구내주차장,부가정보없음,2017.8.12 0:00
대방중간집하장(대방차고),24시간,주차장,0,2020.9.17 17:40
문경시민운동장 충전소,24시간,지상주차장,0,2021.1.4 15:00
가평하수도사업소,24시간,관외 주차장,0,2021.1.4 15:04
강경젓갈시장,24시간,주차장,0,2021.1.5 17:32
대사동 제6노외공영주차장,24시간,주차장,0,2021.1.6 13:17
중동공영주차타워,24시간,옥상주차장,조례에따름,2021.1.6 18:16
부산국제금융센터,24시간,지하1층 C12~13,부가정보없음,2021.1.8 9:48
부산지방공단스포원,24시간,태양광시설 공용주차장내,0,2021.1.8 9:56
한국농어촌공사 구례지사,24시간,(실외캐노피기설) 농어촌공사 주차장,없음,2021.1.19 14:33
경산시립박물관주차장,24시간,박물관 정문 주차장,무료,2020.12.16 18:46
홈플러스 대구점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
탄현마을6단지현대한신 아파트,24시간,"7동,8동사이 지하주차장",부가정보없음,2017.8.12 0:00
강남더샵포레스트,부가정보없음,부가정보없음,부가정보없음,2017.10.31 7:43
서울특별시은평병원 주차장,주중/주말 : 24시간,옥외주차장,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.2.27 0:00
이마트 칠성점,24시간,지하주차장 3층 B6구역,부가정보없음,2017.9.19 16:25
홈플러스 순천풍덕점,06~23시,(실내지상)지상4층 주차장 출구 옆,무료,2017.9.19 16:25
하늘공원 공영주차장,24시간,지하1층주차장,유료,2021.1.21 15:26
당산근린지하공영주차장,24시간,지하2층주차장,유료,2021.1.22 10:48
동산마을 공영주차장,24시간,지하2층주차장,유료,2021.1.22 11:15
한국농어촌공사(100kw),24시간,한국농어촌공사 연천포천가평지사,0,2021.1.25 9:34
예원예술대학교,24시간,주차장,0,2021.1.25 11:28
한국공항공사 고객전용주차장,24시간,지상1층,유료,2021.1.25 14:16
북평면,24시간,북평면 하나로 마트 앞 주차장,0,2021.1.25 17:05
구로아트밸리 지하2층,24시간,지하2층 주차장,유료,2020.8.11 20:37
이원면사무소,24시간,정문 진입후 좌측 지상주차장 내,부가정보없음,2017.11.17 9:29
무지개 동신아파트,24시간,지하주차장,부가정보없음,2017.12.6 17:29
일도2차신천지,24시간,주차장,없음,2017.7.9 0:00
월남공용차고지,24시간,(실외완전노출)차고지 내,부가정보없음,2020.12.15 11:35
길안면행정복지센터 공영주차장,24시간,공영주차장 입구 바로 왼쪽,무료,2020.12.24 17:00
맑음터공원,24시간,주차타워 1층,유료,2021.1.13 13:10
남동논현도서관,24시간,지상,0,2021.1.15 12:02
수원시상수도사업소,24시간,지상주차장,0,2021.2.1 16:39
성암산신동아파밀리에,24시간  ※외부인 개방,112동 지하1층,무료,2017.12.6 17:29
철암동보건소,24시간,센터 앞 주차장,0,2021.2.15 15:28
동광리버스차고지,24시간,야외 주차장,0,2021.6.15 10:59
영신버스터미널 전기버스 충전소,24시간,영신버스터미널 내,없음,2021.3.18 14:35
중리롯데캐슬상가,24시간,상가지하주차장,부가정보없음,2020.8.26 15:03
옥명대우,24시간  ※외부인 개방,101동 12라인옆 주차장,0,2017.7.9 0:00
고려대학교(자연과학),주중/주말 : 24시간,B3층 16번기둥,"급속 1시간30분, 완속 7시간 주차요금 면제",2016.12.29 0:00
남촌농산물도매시장 전기차충전소,"상시개방(토,일 16시 이후 차단)","지하1층 주차장(D21, D22)",없음(주차시스템 완료 후 징수 예정),2020.8.19 10:48
성주지사,24시간,성주지사 주차장,0,2018.11.22 9:07
김해진영휴먼시아6단지,24시간  ※외부인 개방,주차장,부가정보없음,2020.7.3 17:20
행복민원청사,24시간,-,부가정보없음,2020.7.3 15:44
개곡리 새마을회,24시간,마을주차장,부가정보없음,2021.3.31 16:13
한국전자통신연구원,24시간,지상 주차장,0,2021.1.5 18:02
산림조합중앙회 임업기능인훈련원,24시간,주차장,충전시 무료,2021.3.9 10:02
당진전력문화홍보관 주차장,24시간,당진전력문화홍보관 주차장,0,2021.3.10 13:27
우리누리청소년문화센터,24시간,옥외주차장,0,2019.12.4 19:21
숲소리 공원,24시간,숲소리 공원,0,2020.11.18 15:29
한일장신대학교,24시간,출입구 안쪽 대형주차장,0,2021.2.24 11:18
강정생명평화교회,24시간,야외주차장,부가정보없음,2019.12.4 19:22
나비생태공원,24시간,나비생태공원 주차장,없음,2020.10.29 11:29
위도면사무소 전기차 공용충전소,24시간,위도면사무소 공용주차장,없음,2021.3.5 15:39
수자원공사,24시간,주차장,충전시 무료,2021.3.9 9:55
웅전공영주차장,24시간,웅전공영주차장,0,2021.3.31 21:31
제주시민속오일시장 3주차장,24시간,도두일동 1212-1번지,0,2021.3.31 21:38
제주아트센터,24시간,북측 주차장,0,2021.3.31 21:41
천지공영주차장,24시간,.,0,2021.3.31 21:44
홍주성옆 공용주차장 전기차충전소,24시간,홍주성옆공용주차장,0,2021.4.5 15:10
의정부과학도서관,24시간,1층 주차장,2시간무료,2019.12.16 16:06
반곡지 전기충전소,24시간,반곡지 주차장 화장실 옆,무료,2020.7.22 16:11
당진화력본부 주차장,24시간,당진화력본부 주차장,무료,2021.3.16 15:16
덕풍수리골공원 공영주차장,24시간,지하1층,미정,2020.8.12 15:44
강서구청 공용충전소,24시간,입구바로옆,30분무료,2020.2.28 11:31
덕산베스트타운 아파트,24시간  ※외부인 개방,109동뒤 지상주차장,0,2017.7.9 0:00
상현2동 행정복지센터,24시간,주차장,0,2021.7.8 11:44
test,24시간,공영주차장 옥상,감면,2021.3.19 18:02
전주 한일장신대학교,24시간,정문 출입구 안쪽 버스주차장,없음,2021.3.5 17:17
고양동 제1 공영주차장,24시간,주차장 입구,없음,2018.6.19 9:16
한국산업인력공단,24시간,옥외주차장,무료,2021.3.5 15:23
고창 한국농어촌공사 충전소,24시간,한국 농어촌공사 고창지사,0,2021.3.9 11:15
정읍국민체육센터,24시간,구내 주차장,없음,2021.3.12 15:11
이마트 동광주점,06~20시,(실내지하)지하주차장3층,부가정보없음,2017.9.19 16:25
한국도로공사 전북본부,24시간,옥외 주차장,무료,2021.3.15 11:15
연지아트홀,24시간,구내 주차장,없음,2021.3.12 14:11
정읍예술회관,24시간,구내 주차장,없음,2021.3.12 15:03
김제시청,24시간,김제시청 주차장,없음,2021.3.15 9:44
광주시 전기버스 충전소,24시간,전기버스 주차장,0,2021.3.16 9:59
불국사농협 하나로마트,24시간,불국사농협 하나로마트 주차장,없음,2021.1.7 10:44
마산롯데백화점본관,24시간,본관 지하 주차장4층,무,2021.3.23 13:07
시민운동장,24시간,공용주차장,없음,2021.3.9 11:26
일반고객 서경화(영흥곰탕),24시간,영흥곰탕 고객주차장,무료,2021.4.5 10:06
울산대교 전망대 공영주차장,24시간,-,부가정보없음,2020.7.3 16:41
이마트 TR 수원점,24시간,지상 4F D,0,2017.9.19 16:25
고등동 행정복지센터,09:00 ~ 19:00,지하주차장,없음,2021.4.27 13:05
송곡대학교,24시간,정문 옆,0,2021.5.26 13:21
통영시장애인종합복지관,24시간,통영시장애인종합복지관주차장(지상),부가정보없음,2020.10.27 13:24
태백시보건소,24시간,태백시보건소,0,2021.2.22 17:47
서면사무소,24시간,(실외완전노출)주차장 입구 우측,무료,2017.11.17 9:29
롯데백화점마산점(별관),24시간,지상 주차장 3층,0,2021.7.16 16:46
전통문화체험전수관,평일 09~18시 개방 주말X,주차장,무료,2021.3.5 15:21
웅남동행정복지센터,24시간,1층,없음,2020.10.30 15:14
북서울꿈의숲,24시간,방문자센터 주차장 2층,1시간 무료,2020.10.8 9:27
동해 아이파크 아파트,24시간  ※외부인 개방,주차장,부가정보없음,2020.3.6 9:37
나리분지버스종점,24시간,주차장,무료,2020.12.11 8:08
현덕면 행정복지센터,24시간,현덕면 행정복지센터,0,2021.4.2 17:26
한국폴리텍6대학로봇캠퍼스,24시간,캠퍼스 내 주차장,무료,2020.12.11 8:08
한전 부여지사,24시간,주차장,무료,2021.7.5 9:10
성당코오롱하늘채,부가정보없음,아파트 구내 주차장,부가정보없음,2017.8.12 0:00
홍은1동 제4공영주차장,주중/주말 : 24시간,공영주차장,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.2.27 0:00
고흥지사 완속충전기04,06~23시,고흥지사관내,무료,2019.4.25 11:33
종합경기장,24시간,주차장,0,2021.3.31 15:01
동물위생시험소(동물보호센터),24시간,동물위생시험소 주차장,0,2021.3.31 20:53
표선공영주차장,24시간,.,0,2021.3.31 21:47
송도초 앞 공영주차장,24시간,공영주차장,무료,2020.12.11 8:08
가남읍사무소[삭제대상],24시간,가남읍사무소,무료,2021.4.5 19:23
강진지사,24시간,(실외완전노출)진입 후 우측 주차장,충전시 무료,2017.2.27 0:00
풍호동행정복지센터,24시간,풍호동행정복지센터 주차장,무료,2021.7.22 15:54
공항입구 공영주차장,24시간,남쪽 주차장,0,2021.3.31 21:10
종달리 종합복지회관,24시간,구좌읍 종달리 종합복지회관,0,2021.3.31 21:14
제주특별자치도 복지이음마루,24시간,동쪽 주차장,0,2021.3.31 21:34
운주산승마자연휴양림,24시간,운주산승마자연휴양림 안내소 뒤 주차장,무료,2020.12.11 8:08
흥천면 행정복지센터,24시간,흥천면 행정복지센터,무료,2021.4.5 19:29
원주 의료기기 종합지원센터,24시간,주차장입구 좌측편,0,2019.12.4 19:21
울릉군농업기술센터,24시간,농업기술센터 주차장,무료,2020.12.11 8:08
폴리텍대학 화성캠퍼스,24시간,폴리텍대학 화성캠퍼스,0,2021.4.2 16:00
강천면 주민자치센터,24시간,강천면 주민자치센터,무료,2021.4.5 19:27
천지공영주차장 전기차충전소,24시간,옥상층,주차장자체요금,2021.5.24 10:28
거창지사,24시간,후문 입구 우측 전기차충전소 내부위치,충전시 무료,2016.10.27 0:00
죽전1동 행정복지센터,24시간,주차장,0,2021.7.8 12:53
수원시청소년문화센터,주중/주말 : 24시간,지상1F 주차장,주차비 없음,2017.2.27 0:00
함양시장 제1주차장,24시간,주차장,없음,2020.10.27 9:10
옥포국제시장주차장,24시간,옥포대첩로 43,0,2020.11.18 15:54
덕진봄아파트,24시간  ※외부인 개방,아파트입구 정면 주차장,0,2017.10.27 11:58
해룡면 신대출장소,24시간,(실외완전노출)지하주차장 입구 오른쪽,무료,2018.11.22 9:06
한국전력공사 영종지사 사옥,24시간,메인 입구 좌측 주차장,무,2020.9.7 11:59
신성로 공영주차장,24시간,입구 남측 주차장,0,2021.3.31 21:05
한라산렌트카,24시간,한라산렌트카,0,2021.3.31 21:18
한수풀도서관,24시간,한수풀도서관 주차장,0,2021.3.31 21:26
노형 제2공영주차장,24시간,노형 제2공영주차장,0,2021.3.31 21:28
고스트타운,24시간,주차장,0,2021.3.31 21:42
산북면 행정복지센터,24시간,산북면 행정복지센터,무료,2021.4.5 19:15
아쿠아플라넷,09:00 - 19:00,지상,5000,2021.5.12 10:18
저동공영주차장,24시간,3층 주차장,유료,2020.12.11 8:08
광주전남전력관리처,24시간,(실외완전노출)지상주차장,충전시 무료,2021.4.15 9:23
가남읍공영주차장,24시간,가남읍 심석리 516-4,무료,2021.4.15 10:17
보현산댐짚와이어,24시간,보현산댐짚와이어 내 주차장,무료,2020.12.11 8:08
창원단감테마공원,24시간,1층,없음,2020.10.30 15:09
농업기술원,24시간,야외 주차장,0,2021.6.15 11:10
노형 제2공영주차장,24시간,1층 주차장,0,2021.4.22 10:05
고스트타운,24시간,주차장,0,2021.4.22 10:09
고등동 행정복지센터(삭제),24시간,지하주차장,없음,2021.4.27 10:24
중부건설본부 충북강원건설지사,24시간,지상주차장,0,2021.6.21 14:41
문광면 주민센터,24시간,지상주차장,0,2021.6.21 14:46
군산지사 업무용,24시간,직원주차장,0,2020.3.26 10:02
운림라인2차 아파트,24시간,(실외완전노출)아파트 후문,부가정보없음,2017.7.4 0:00
우방한가람타운,24시간,지하 4층 주차장,부가정보없음,2017.8.25 0:00
당산대우 아파트,24시간,지하3층 기둥번호 A3-09,부가정보없음,2017.7.4 0:00
남악상록아파트,24시간,(실내지하)지하주차장 B18,무,2018.1.30 20:18
웅천친수공원 주차장,24시간,(실외캐노피기설) 주차장 입구 직좌,1시간 면제(초과부터는 50% 할인),2018.11.22 9:07
창리 제1공영주차장,24시간,실주소 선원면 창리 665-2,0,2021.12.2 16:08
갑곳 제1공영주차장,24시간,갑곳리 644-3,0,2021.12.2 16:23
비슬산 유스호스텔,24시간,호텔아젤리아 지상 주차장,없음,2021.12.30 17:51
롤러경기장,24시간,롤러경기장,주차시설에별도문의,2021.11.11 16:36
서울소년원(고봉중학교),24시간,서울소년원(고봉중학교),주차장관리소문의,2021.11.11 16:39
밀양구치소,24시간,밀양구치소 고객주차장,0,2021.11.18 14:16
대구경북건설지사,24시간,입구주차장,0,2022.1.4 14:24
화정3동주민센터 공영주차장,24시간,화정3동주민센터 공영주차장,0,2021.11.15 17:06
순천만습지주차장,24시간,순천만습지 주차장 출구방향,없음,2022.1.19 13:10
마포중앙도서관,24시간,주차장 지하1층,1시간면제(초과시 50%할인),2017.11.17 9:29
한들생태환경주차장(A),24시간,경상남도 함양군 함양읍 용평리 634,0,2021.11.19 14:44
서상시장,24시간,서상시장주차장,0,2021.11.19 15:01
옥동공영주차장,24시간,주자창1층,30분 500원/ 주말 무료,2021.11.22 10:22
동로면행정복지센터,24시간,주차장,0,2021.11.22 11:00
금오산도립공원 대주차장,24시간,금오산도립공원 대주차장,무료,2021.11.23 9:44
경북북부제1교도소,24시간,교정아파트 주차장,0,2021.11.23 11:08
대구교도소,24시간,지상주차장,부가정보없음,2021.9.29 18:12
서울숲SK V1 타워,24시간,지하2층,SK V1타워 주차규정,2021.9.13 11:14
도깨비시장 공영주차장,24시간,주차장,주차장 규정에 따름,2021.9.16 9:47
